| NAME              | RA_HMS     | DEC_DMS   | DIAM  | BA   |
| M101-df2          | 14:08:37.5 | +54:19:31 |  0.33 | 0.92 |
| dw1408+56         | 14:08:41.0 | +56:55:38 |  0.37 | 0.59 |
| M101dwB           | 14:08:43.1 | +55:09:57 |  0.30 | 0.80 |
| dw1409-33         | 14:09:03.0 | -33:49:40 |  0.67 | 0.75 |
| Dw1409+5113       | 14:09:13.0 | +51:13:30 |  1.70 | 0.58 |
| M101Dw11          | 14:10:04.8 | +54:15:29 |  0.14 | 0.90 |
| dw1410-34         | 14:10:47.0 | -34:52:07 |  0.59 | 0.85 |
| M101Dw14          | 14:11:03.2 | +53:56:50 |  0.19 | 0.69 |
| dw1412+56         | 14:12:11.0 | +56:08:31 |  0.27 | 0.69 |
| dw1413-34         | 14:13:08.0 | -34:23:33 |  0.35 | 0.69 |
| CIRCINUS          | 14:13:09.3 | -65:20:21 |  6.92 | 0.43 |
| KKH87             | 14:15:09.4 | +57:05:15 |  1.12 | 0.37 |
| dw1415-32         | 14:15:41.0 | -32:34:21 |  0.31 | 0.77 |
| DDO187            | 14:15:56.5 | +23:03:19 |  1.70 | 0.76 |
| Dw1416-0212       | 14:16:38.9 | -02:12:04 |  0.81 | 0.89 |
| dw1416+57         | 14:16:59.0 | +57:54:39 |  0.24 | 0.81 |
| KKR08             | 14:19:14.8 | +03:07:26 |  0.56 | 0.82 |
| NGC5585           | 14:19:48.3 | +56:43:49 |  5.89 | 0.64 |
| FASHI1420+43      | 14:20:12.0 | +43:01:12 |  0.77 | 0.63 |
| DDO190            | 14:24:43.5 | +44:31:33 |  2.40 | 0.89 |
| PGC051659         | 14:28:03.7 | -46:18:06 |  1.86 | 0.38 |
| Centaurus A-dE5   | 14:30:05.0 | -33:28:45 |  0.52 | 0.58 |
| ESO222-010        | 14:35:03.0 | -49:25:18 |  0.44 | 0.44 |
| DDO194            | 14:35:24.6 | +57:15:24 |  2.14 | 0.35 |
| MRK0475           | 14:39:05.4 | +36:48:22 |  0.45 | 0.75 |
| HIPASS J1441-62   | 14:41:42.7 | -62:46:02 |  0.30 | 0.65 |
| ESO272-025        | 14:43:25.5 | -44:42:19 |  1.58 | 0.50 |
| KKR11             | 14:44:44.2 | +55:35:17 |  0.68 | 0.72 |
| dw1446+58         | 14:46:00.0 | +58:34:04 |  0.42 | 0.55 |
| UGC09540          | 14:48:52.0 | +34:42:43 |  0.76 | 0.80 |
| ESO273-014        | 14:58:30.3 | -47:41:55 |  3.80 | 0.73 |
| Dw1459+44         | 14:59:38.4 | +44:40:23 |  1.43 | 0.95 |
| ESO223-009        | 15:01:08.5 | -48:17:33 |  2.63 | 0.92 |
| UGC09660          | 15:01:09.3 | +44:41:53 |  1.20 | 0.49 |
| UMin              | 15:09:11.3 | +67:12:52 | 30.20 | 0.44 |
| ESO274-001        | 15:14:13.5 | -46:48:45 | 13.49 | 0.10 |
| KKR18             | 15:17:54.5 | +16:18:44 |  0.70 | 0.90 |
| HIPASS J1526-51   | 15:26:22.9 | -51:10:31 |  -99. | -99. |
| HIZOA J1528-52    | 15:28:33.8 | -52:13:56 |  -99. | -99. |
| UGC9893sat        | 15:32:51.4 | +46:25:55 |  0.71 | 0.79 |
| UGC09893          | 15:32:57.1 | +46:27:09 |  1.25 | 0.45 |
| Dw1533+67         | 15:33:28.1 | +67:45:29 |  0.83 | 0.46 |
| BootesIV          | 15:34:45.4 | +43:43:34 | 15.10 | 0.36 |
| UGC09992          | 15:41:47.8 | +67:15:15 |  1.66 | 0.61 |
| Dw1558+67         | 15:58:46.8 | +67:51:29 |  0.59 | 0.87 |
| Dw1559+46         | 15:59:02.6 | +46:23:40 |  0.60 | 0.88 |
| PGC057323         | 16:09:36.8 | -04:37:16 |  1.05 | 0.62 |
| KKR25             | 16:13:47.6 | +54:22:16 |  1.10 | 0.59 |
| HIZOA J1616-55    | 16:17:23.5 | -55:43:57 |  0.30 | 0.65 |
| ESO137-018        | 16:20:59.3 | -60:29:15 |  3.47 | 0.34 |
| Hercules          | 16:31:03.6 | +12:47:24 | 13.50 | 0.33 |
| Dw1645+46         | 16:45:48.5 | +46:47:24 |  0.74 | 0.67 |
| KDG235            | 17:00:25.3 | +70:17:24 |  1.29 | 0.81 |
| Dw1709+74         | 17:09:45.6 | +74:10:44 |  1.39 | 0.81 |
| Draco             | 17:20:01.4 | +57:54:34 | 35.48 | 0.69 |
| Dw1735+57         | 17:35:34.6 | +57:48:47 |  0.69 | 0.66 |
| HIPASS J1738-57   | 17:38:42.9 | -57:15:25 |  0.40 | 0.50 |
| Milky Way         | 17:45:40.0 | -29:00:28 |  -99. | -99. |
| IC4662            | 17:47:06.3 | -64:38:25 |  2.82 | 0.57 |
| NGC6503           | 17:49:27.6 | +70:08:41 |  7.08 | 0.34 |
| KK242             | 17:52:48.4 | +70:08:14 |  0.52 | 0.61 |
| IC4710            | 18:28:38.0 | -66:58:56 |  3.72 | 0.78 |
| NGC6684           | 18:48:57.9 | -65:10:24 |  3.98 | 0.65 |
| Sag dSph          | 18:55:03.1 | -30:28:42 |446.68 | 0.48 |
| ESO104-022        | 18:55:41.2 | -64:48:39 |  1.48 | 0.67 |
| dw1859-6402       | 18:59:26.6 | -64:02:23 |  0.45 | 0.53 |
| dw1901-6315       | 19:01:29.5 | -63:15:34 |  0.63 | 0.91 |
| Dw1905+65         | 19:05:42.7 | +65:55:37 |  0.98 | 0.71 |
| NGC6744dwTBGa     | 19:05:56.0 | -63:16:19 |  0.42 | 0.95 |
| [KK2000] 70       | 19:06:58.9 | -63:57:57 |  0.55 | 0.82 |
| Dw1907+63         | 19:07:15.4 | +63:23:06 |  0.55 | 0.70 |
| dw1907-6342       | 19:07:22.6 | -63:42:22 |  0.30 | 0.60 |
| UGC11411          | 19:08:42.3 | +70:17:02 |  0.79 | 0.70 |
| [KK2000] 71       | 19:08:44.0 | -63:43:53 |  1.82 | 0.39 |
| EDwC1             | 19:09:08.3 | -63:41:08 |  0.44 | 0.95 |
| NGC6744           | 19:09:45.9 | -63:51:28 | 21.38 | 0.65 |
| Bedin I           | 19:10:45.8 | -59:55:02 |  0.33 | 0.40 |
| ESO104-044        | 19:11:23.1 | -64:13:09 |  1.78 | 0.64 |
| [KK2000] 72       | 19:12:22.9 | -63:51:22 |  0.55 | 0.75 |
| NGC6744dwTBGb     | 19:12:46.8 | -63:39:49 |  0.22 | 0.85 |
| AM1909-615        | 19:13:53.5 | -61:54:49 |  0.62 | 0.90 |
| HIZOAJ1914+10     | 19:15:02.5 | +10:19:43 |  -99. | -99. |
| NGC6789           | 19:16:41.8 | +63:58:22 |  1.41 | 0.77 |
| Sag dIr           | 19:29:59.0 | -17:40:41 |  2.88 | 0.72 |
| IC4870            | 19:37:37.6 | -65:48:43 |  1.74 | 0.56 |
| Dw1940+64         | 19:40:55.4 | +64:45:32 |  1.08 | 0.68 |
| NGC6822           | 19:44:57.7 | -14:48:11 | 19.05 | 0.87 |
| LV J1952+1428     | 19:52:11.8 | +14:28:24 |  0.30 | 0.93 |
| Sgr II            | 19:52:39.5 | -21:56:06 |  3.20 | 0.95 |
| Pavo              | 19:55:00.0 | -61:04:20 |  2.50 | 0.49 |
| KK246             | 20:03:57.4 | -31:40:54 |  0.91 | 0.42 |
| IC4951            | 20:09:31.8 | -61:51:02 |  3.24 | 0.18 |
| PGC408791         | 20:26:08.8 | -55:29:50 |  0.76 | 0.58 |
| UGC11583          | 20:30:15.3 | +60:26:25 |  2.19 | 0.24 |
| KK251             | 20:30:32.0 | +60:21:13 |  1.58 | 0.50 |
| KK252             | 20:31:32.6 | +60:48:48 |  0.89 | 0.99 |
| NGC6946           | 20:34:51.1 | +60:09:15 | 14.79 | 0.85 |
| KKR55             | 20:45:20.8 | +60:24:40 |  0.60 | 0.67 |
| DDO210            | 20:46:51.8 | -12:50:53 |  2.63 | 0.50 |
| KKR56             | 20:48:24.1 | +58:37:06 |  0.71 | 0.64 |
| Cepheus1          | 20:51:09.7 | +56:53:24 |  3.02 | 0.50 |
| IC5052            | 20:52:06.2 | -69:12:14 |  8.13 | 0.14 |
| KKR59             | 21:03:24.2 | +57:17:14 |  2.29 | 0.61 |
| KKR60             | 21:05:53.0 | +57:12:19 |  0.71 | 0.70 |
| PGC129680         | 21:08:04.8 | -47:19:42 |  1.31 | 0.46 |
| Kim2              | 21:08:49.1 | -51:09:56 |  2.50 | 0.65 |
| EZOA J2120+45     | 21:20:46.2 | +45:16:22 |  0.89 | 0.53 |
| Segue 3           | 21:21:31.0 | +19:07:02 |  1.30 | 0.70 |
| EZOAJ2129+52      | 21:29:04.0 | +52:39:16 |  -99. | -99. |
| NGC7090           | 21:36:28.6 | -54:33:26 | 10.23 | 0.18 |
| IC5152            | 22:02:41.9 | -51:17:43 |  7.08 | 0.62 |
| Dw2215-4528       | 22:15:25.4 | -45:28:37 |  0.38 | 0.92 |
| Dw2216-4539       | 22:16:07.4 | -45:39:11 |  1.08 | 0.71 |
| Dw2217-4633       | 22:17:32.4 | -46:33:50 |  0.44 | 0.83 |
| LV J2218-4613     | 22:18:48.7 | -46:13:05 |  0.53 | 0.50 |
| IC5201            | 22:20:57.4 | -46:02:03 |  8.71 | 0.46 |
| Dw2221-4608       | 22:21:03.4 | -46:08:02 |  1.03 | 0.90 |
| ESO289-020        | 22:21:11.5 | -45:40:34 |  1.56 | 0.22 |
| Dw2221-4607       | 22:21:43.2 | -46:07:01 |  0.35 | 0.53 |
| ESO238-005        | 22:22:30.1 | -48:24:18 |  3.09 | 0.65 |
| AM2220-460        | 22:23:43.0 | -45:52:56 |  0.89 | 0.91 |
| Pegasus III       | 22:24:22.6 | +05:25:12 |  3.70 | 0.60 |
| Dw2227-4623       | 22:27:06.7 | -46:23:10 |  0.51 | 0.83 |
| And XXVIII        | 22:32:41.2 | +31:12:58 |  1.70 | 0.66 |
| Aquarius 2        | 22:33:55.5 | -09:19:39 | 10.20 | 0.61 |
| DDO215            | 22:39:08.8 | -04:45:37 |  1.75 | 0.34 |
| KK258             | 22:40:43.9 | -30:47:59 |  1.70 | 0.50 |
| Tucana            | 22:41:49.0 | -64:25:12 |  2.88 | 0.41 |
| Tucana B          | 22:47:00.5 | -58:24:27 |  0.53 | 0.74 |
| Tucana 2          | 22:51:55.1 | -58:34:08 | 19.70 | 0.61 |
| Grus 1            | 22:56:42.4 | -50:09:48 |  3.50 | 0.59 |
| Lac I             | 22:58:16.3 | +41:17:28 |  8.40 | 0.57 |
| PiscesII          | 22:58:31.0 | +05:57:09 |  1.80 | 0.69 |
| AGC322463         | 22:59:35.3 | +16:46:11 |  0.30 | 0.58 |
| NGC7462           | 23:02:47.2 | -40:50:06 |  5.50 | 0.17 |
| ApplesI           | 23:15:03.3 | -42:32:22 |  0.10 | 0.73 |
| Pegasus V         | 23:18:27.8 | +33:21:32 |  0.63 | 0.99 |
| NGC7640           | 23:22:06.6 | +40:50:44 | 10.47 | 0.19 |
| UGC12588          | 23:24:42.4 | +41:20:53 |  1.86 | 0.82 |
| UGCA438           | 23:26:27.5 | -32:23:26 |  2.14 | 0.80 |
| Cas dSph          | 23:26:31.8 | +50:40:32 |  3.02 | 0.87 |
| ESO347-017        | 23:26:56.1 | -37:20:49 |  1.91 | 0.34 |
| Pegasus           | 23:28:34.1 | +14:44:48 |  5.50 | 0.54 |
| DDO217            | 23:29:58.7 | +40:59:25 |  5.25 | 0.62 |
| IC5332            | 23:34:27.5 | -36:06:06 |  8.32 | 0.87 |
| LV J2335-3713     | 23:35:04.1 | -37:13:14 |  0.58 | 0.57 |
| NGC7713           | 23:36:15.0 | -37:56:20 |  6.76 | 0.41 |
| UGC12713          | 23:38:14.5 | +30:42:33 |  1.78 | 0.47 |
| Phoenix 2         | 23:39:59.4 | -54:24:22 |  2.20 | 0.53 |
| PGC3192333        | 23:41:33.8 | -35:30:23 |  0.31 | 0.80 |
| PGC680341         | 23:41:47.5 | -33:08:41 |  0.44 | 0.54 |
| UGCA442           | 23:43:46.0 | -31:57:33 |  6.31 | 0.14 |
| KKH98             | 23:45:34.0 | +38:43:04 |  1.05 | 0.55 |
| ESO348-009        | 23:49:23.4 | -37:46:25 |  2.29 | 0.36 |
| Peg dSph          | 23:51:47.3 | +24:34:53 |  3.98 | 0.59 |
| ESO149-003        | 23:52:02.8 | -52:34:39 |  2.63 | 0.18 |
| And XXI           | 23:54:47.7 | +42:28:15 |  8.20 | 0.64 |
| Tucana III        | 23:56:36.0 | -59:36:00 | 12.10 | 0.57 |
| PAndAS-01         | 23:57:12.0 | +43:33:08 |  0.35 | 0.95 |
| NGC7793           | 23:57:49.4 | -32:35:24 | 14.13 | 0.68 |
| PAndAS-02         | 23:57:55.6 | +41:46:49 |  0.50 | 0.90 |
| PGC704814         | 23:58:40.7 | -31:28:03 |  0.78 | 0.81 |
| And XXIX          | 23:58:55.6 | +30:45:20 |  2.70 | 0.65 |
