| NAME              | RA_HMS     | DEC_DMS   | DIAM  | BA   |
| UGC03698          | 07:09:18.8 | +44:22:48 |  1.17 | 0.60 |
| NGC2337           | 07:10:13.6 | +44:27:25 |  2.75 | 0.75 |
| UGC03755          | 07:13:51.8 | +10:31:19 |  1.86 | 0.59 |
| UGC03817          | 07:22:44.5 | +45:06:30 |  1.74 | 0.50 |
| HIZSS008          | 07:25:22.0 | -24:28:31 |  1.35 | 0.43 |
| DDO043            | 07:28:17.2 | +40:46:13 |  1.41 | 0.69 |
| NGC2366           | 07:28:54.6 | +69:12:19 |  7.24 | 0.36 |
| HIZSS012          | 07:30:08.3 | -22:01:01 |  3.20 | 0.50 |
| ESO059-001        | 07:31:19.3 | -68:11:10 |  2.14 | 0.81 |
| DDO044            | 07:34:11.3 | +66:53:10 |  2.82 | 0.67 |
| AGC174585         | 07:36:10.3 | +09:59:11 |  0.40 | 0.62 |
| HIZSS014          | 07:36:22.6 | -19:29:40 |  0.40 | 0.60 |
| Carina II         | 07:36:25.6 | -56:00:03 | 17.40 | 0.66 |
| NGC2403           | 07:36:51.4 | +65:35:58 | 28.18 | 0.56 |
| LV J0737+4724     | 07:37:28.5 | +47:24:33 |  0.42 | 0.40 |
| Carina III        | 07:38:31.2 | -56:06:01 |  7.50 | 0.45 |
| SMDG0740+40       | 07:40:23.0 | +40:32:56 |  0.48 | 0.63 |
| DDO046            | 07:41:25.8 | +40:06:45 |  1.78 | 0.94 |
| PGC21597          | 07:41:52.0 | +75:00:08 |  0.95 | 0.45 |
| DDO047            | 07:41:55.0 | +16:48:02 |  4.68 | 0.85 |
| KK65              | 07:42:31.2 | +16:33:40 |  1.12 | 0.56 |
| MADCASH J0742+65dw| 07:42:38.9 | +65:25:02 |  0.35 | 0.59 |
| HIZSS021          | 07:46:16.5 | -28:28:11 |  0.80 | 0.65 |
| KKH40             | 07:46:56.4 | +51:17:46 |  0.66 | 0.72 |
| CGCG 262-028      | 07:47:32.1 | +51:11:29 |  1.00 | 0.52 |
| AGC174605         | 07:50:21.7 | +07:47:40 |  0.34 | 0.94 |
| UGC04115          | 07:57:01.8 | +14:23:27 |  1.91 | 0.56 |
| HIZOA J0800-36    | 08:00:22.7 | -36:39:34 |  0.35 | 0.75 |
| HIPASS J0801-21   | 08:01:25.4 | -21:59:51 |  0.48 | 0.55 |
| NGC2500           | 08:01:53.2 | +50:44:14 |  3.31 | 0.84 |
| HIZSS033          | 08:07:03.6 | -37:44:22 |  0.45 | 0.80 |
| LV J0812+4836     | 08:12:39.5 | +48:36:45 |  0.52 | 0.31 |
| NGC2537           | 08:13:14.7 | +45:59:26 |  2.57 | 0.88 |
| IC2233            | 08:13:58.9 | +45:44:32 |  4.90 | 0.11 |
| NGC2541           | 08:14:40.1 | +49:03:42 |  7.08 | 0.53 |
| HolmII            | 08:19:04.0 | +70:42:51 |  8.91 | 0.86 |
| NGC2552           | 08:19:20.5 | +50:00:35 |  3.72 | 0.74 |
| ESO006-001        | 08:19:23.3 | -85:08:44 |  1.10 | 0.91 |
| ESO495-008        | 08:21:00.7 | -23:46:53 |  0.69 | 0.28 |
| AGC188955         | 08:21:37.0 | +04:19:01 |  0.26 | 0.55 |
| KDG052            | 08:23:56.0 | +71:01:46 |  1.26 | 0.92 |
| KUG 0821+321      | 08:25:05.0 | +32:01:05 |  0.52 | 0.63 |
| CGMW2-3473        | 08:25:12.9 | -28:08:25 |  0.78 | 0.58 |
| Dw0827+6452       | 08:27:16.3 | +64:52:26 |  0.45 | 0.87 |
| DDO052            | 08:28:28.5 | +41:51:24 |  1.74 | 0.50 |
| LV J0831+4104     | 08:31:41.2 | +41:04:54 |  0.29 | 0.83 |
| DDO053            | 08:34:06.5 | +66:10:45 |  2.00 | 0.87 |
| ESO495-021        | 08:36:15.2 | -26:24:34 |  2.09 | 0.77 |
| UGC04483          | 08:37:03.0 | +69:46:31 |  1.32 | 0.58 |
| AGC181604         | 08:39:48.7 | +31:40:52 |  0.78 | 0.38 |
