objname_from,pgc_from,objname_to,pgc_to,dtheta_arcsec,comment
ESO 155-IG 028,12810,ESO 155-IG 028 NED01,-99,19.415,GPair
ESO 420-IG 010,14652,AM 0410-291 NED01,-99,4.670,GPair
MCG +00-11-050,14840,MCG +00-11-050 NED02,-99,11.818,GPair
IRAS 04561-1501,16443,MCG -03-13-039,-99,5.164,GPair
ESO 119-IG 029,16569,ESO 119-IG 029 NED02,-99,4.703,GPair
ESO 305- G 019,17111,WISEA J051945.41-390327.5,-99,31.667,GPair
II Zw 038,17295,II Zw 038 NOTES02,-99,10.366,GPair
ESO 086-IG 031,17788,WISEA J054616.64-624957.7,-99,3.235,GPair
ESO 205-IG 030,18555,WISEA J061034.16-474029.4,-99,15.863,GPair
ESO 426- G 032,19450,WISEA J064159.94-300644.1,-99,8.774,GPair
VII Zw 090,19538,WISEA J064509.18+602500.7,-99,2.478,GPair
ESO 161-IG 025,19556,WISEA J064545.31-553202.4,-99,8.003,GPair
ESO 366-IG 025,19715,ESO 366-IG 025 NED01,-99,17.691,GPair
ESO 162-IG 012,20382,2MASS J07121223-5323298,3441844,8.479,GPair
ESO 088-IG 006,20415,ESO 088-IG 006 NED02,-99,27.808,GPair
VII Zw 149,20922,2MASX J07241997+6830202,-99,0.940,GPair
NGC 2402,21176,NGC 2402 NED01,-99,15.759,GPair
ESO 059-IG 020,21811,WISEA J074731.91-713949.4,-99,11.828,GPair
KUG 0808+234,22952,2MASX J08110686+2318094,-99,0.151,GPair
VV 843,22963,WISEA J081127.07+292851.2,-99,3.873,GPair
KUG 0936+550,27590,WISEA J094012.10+545037.1,-99,6.441,GPair
KUG 0949+483,28475,KUG 0949+483 NED01,-99,0.819,GPair
CGCG 093-026,29039,2MASX J10014530+1503358,-99,4.885,GPair
MCG -02-26-038,29636,MCG -02-26-038 NED02,-99,5.725,GPair
PGC 030937,30937,WISEA J102948.40-350550.5,-99,4.859,GPair
ESO 318-IG 020,32582,WISEA J105145.64-415142.7,-99,4.558,GPair
MAPS-NGP O_215_0381013,32808,WISEA J105505.79+402730.0,-99,2.692,GPair
