# Object-level actions based on VI (visual inspections). Note that an object may
# appear more than once.
objname,action,reason,comment
ESO 355-IG 012 NED02,drop,no source,In 'ESO 355-IG 012' group.
ESO 355-IG 012 NED03,drop,no source,In 'ESO 355-IG 012' group.
ESO 151-IG 014 NED02,drop,no source,In 'ESO 151-IG 014' group.
ESO 193-IG 008 NED02,drop,no source,In 'ESO 193-IG 008' group.
SBS 1532+591B,drop,no source,In 'SBS 1532+591' group.
SBS 1520+503,drop,no source,In 'IRAS 15205+5021' group.
2MASS J06324839+6855590,drop,no source,In 'IRAS 06273+6858' group.
NGC 6745 NED01,drop,no source,In 'NGC 6745' group.
2dFGRS S883Z423,drop,no source,In 'NGC 7764A' group.
ESO-LV 2010242,drop,no source,In 'ESO 201-IG 024' group.
VIII Zw 096,drop,no source,In 'MCG +02-27-036' group.
PGC 1090498,drop,no source,In 'CGCG 012-059' group.
VV 673,drop,no source,In 'VV 673' group.
AGESVC1 040,drop,no source,In CGCG 043-009' group.
UGC 08817,drop,no source,In 'UGC 08817' group.
VV 223,drop,no source,In 'VIII Zw 383' group.
UZC-CG 256,drop,no source,In 'CGCG 140-030' group.
SDSS J233301.74+124939.6,drop,no source,In 'KUG 2330+125' group.
SDSS J093731.86+351011.3,drop,no source,In 'KUG 0934+353' group.
2dFGRS S289Z253,drop,no source,In 'APMBGC 411+004-028' group.
PGC 266952,drop,no source,In '2MFGC 02112' group.
AM 0231-302 NED01,drop,no source,In 'AM 0231-302' group.
IRAS 21549-1206NW,drop,no source,In 'GALEXASC J215735.62-115145.9' group.
KUG 2349+268 NED02,drop,no source,In 'KUG 2349+268' group.
WISEA J095920.88+011753.4,drop,no source,In 'PKS 0956+015' group.
ESO 195-IG 021 NED02,drop,no source,In 'ESO 195-IG 021' group.
ESO 195-IG 021 NED01,drop,no source,In 'ESO 195-IG 021' group.
AM 0659-680 W,drop,no source,In 'AM 0659-680' group.
ESO 298-IG 024 NED01,drop,no source,In 'ESO 298-IG 024' group.
NGC 1044 NED02,drop,no source,In 'NGC 1044' group.
ESO 119-IG 027 NED01,drop,no source,In 'ESO 119-IG 027' group.
SDSS J032044.93-010304.6,drop,no source,In 'UGC 02691' group.
ESO 481-IG 012 NED01,drop,no source,In 'ESO 481-IG 012' group.
WISEA J024938.63+340223.7,drop,no source,In 'MRK 1057' group.
CGCG 091-070 NED02,drop,no source,In 'CGCG 091-070' group.
USGC U257,drop,no source,In 'CGCG 035-052' group.
PGC 3099314,drop,no source,In 'NGC 3550' group.
SDSS J102525.57+553138.9,drop,no source,In 'CGCG 266-044' group.
V1CG 572,drop,no source,In 'IC 2543' group.
PGC 2770883,drop,no source,In 'UGCA 171' group.
ESO 267-IG 009 NED02,drop,no source,In 'ESO 267-IG 009' group.
VV 655 NED02,drop,no source,In 'VV 655' group.
WISEA J114518.60+200035.9,drop,no source,In 'CGCG 097-133' group.
SDSS J114518.75+200053.5,drop,no source,In 'CGCG 097-133' group.
2dFGRS N311Z107,drop,no source,In 'WISEA J115020.46-003533.8' group.
HOLM 477,drop,no source,In 'NGC 4759' group.
2dFGRS S447Z179,drop,no source,In 'DUKST 412-027' group.
DUKST 415-015 NED01,drop,no source,In 'AM 0218-321' group.
AM 2309-311 NED01,drop,no source,In 'AM 2309-311' group.
ABELL 3295:[VCC89] 1,drop,no source,In 'APMUKS(BJ) B045137.16-320104.3' group.
2MFGC 03929,drop,no source,In 'IRAS 04433+6020' group.
ABELL 1677:[AEF92],drop,no source,In 'MCG +05-31-128' group.
VCC 1838,drop,no source,In 'VCC 1838' group.
WAS 91,drop,no source,
CGPG 1108.5+2857,drop,no source,In 'CGPG 1108.5+2857' group.
CGPG 1108.5+2857 NED03,drop,no source,In 'CGPG 1108.5+2857' group.
CGPG 1108.5+2857 NED02,drop,no source,In 'CGPG 1108.5+2857' group.
UGC 06224 NOTES01,drop,no source,In 'CGPG 1108.5+2857' group.
[H87] 3-83,drop,no source,In '[H87] 3-83' group.
APMBGC 355-035-073,drop,no source,In 'APMBGC 355-035-073' group.
