OBJNAME,REGION
VII Zw 680 NOTES01,
VII Zw 680 NOTES02,
VII Zw 680 NOTES03,
CGCG 453-025 NED02,
2MASS J15040624+2831267,
WISEA J150359.38+283043.8,
WISEA J150400.60+283108.1,
CGCG 182-049 NED02,
2MASX J12401879+1646119,
WISEA J153433.46+082132.0,
2MASS J02555508-1642480,
WISEA J043835.54-615051.4,
WISEA J110116.39+102835.9,
NGC 3492 NED01,
WISEA J075720.71+292440.3,
WISEA J075722.00+292441.6,
WISEA J102614.67+212112.1,
WISEA J102615.21+212101.2,
2MASX J04243193-3428455,
WISEA J090601.68+125853.8,
WISEA J175412.27+212805.6,
VV 684 NED02,
VV 684 NED03,
WISEA J223503.71+015054.8,
WISEA J183838.11+325831.9,
2MASS J12370056+3206423,
2MASX J12370137+3206296,
GALEXASC J132403.43+302840.7,
IC 2431 NED02,
IC 2431 NED04,
WISEA J102624.70+105455.1,
WISEA J160629.68+151802.1,
2MASX J02541736+0112017,
WISEA J142659.20+125339.5,
2MASS J14265748+1253496,
2MASS J15090827+0902273,
WISEA J150906.64+090302.1,
WISEA J150905.78+090315.6,
WISEA J155748.57+194014.0,
WISEA J075612.48+395436.1,
WISEA J075612.03+395442.7,
WISEA J223911.48+031210.5,
2MASS J14453587+3326010,
2MASS J14293954+0022024,
WISEA J142941.80+002208.3,
WISEA J015112.85-010320.7,
2MASS J11103782+2845552,
NGC 3550 NED01,
PGC 129735,
CGCG 037-084 NED02,
2MASS J20282294-5150387,
WISEA J142633.42+164900.9,
WISEA J142631.54+164854.4,
IC 1004 NED01,
IC 1004 NED02,
WISEA J021128.37-174552.4,
WISEA J021122.58-174544.2,
WISEA J021123.55-174553.5,
WISEA J233821.21+270929.1,
CGCG 095-095 NED01,
2MASS J12574334+2651148,
2MASS J12230562+1427079,
VIII Zw 361 NOTES03,
VIII Zw 361 NOTES02,
WISEA J102235.15+082229.9,
PGC 131577,
WISEA J012243.40-303818.0,
WISEA J101340.16-005503.5,
WISEA J101341.50-005520.1,
2MASS J22142177-4903063,
2MASS J16225743+2353322,
CGCG 097-111 NED01,
WISEA J222821.21+111644.2,
GALEXASC J200449.66-574051.3,
2MASX J10494177+1613291,
PGC 1666874,
WISEA J084237.73+221559.0,
WISEA J151754.62+200937.2,
2MASS J15370324+2007469,
WISEA J131229.71+114432.8,
WISEA J131245.40+114423.1,
SDSS J131244.99+114410.3,
MRK 1152S,
NGC 7212 NED01,
WISEA J220702.36+101414.3,
IC 3147 NED02,
WISEA J115057.66+144419.7,
WISEA J101906.10+192059.8,
WISEA J050056.73-590238.5,
APMUKS(BJ) B023512.37-203322.4,
WISEA J035736.66-522119.3,
2MASS J22350166+1327589,
WISEA J144404.45+000314.6,
WISEA J144404.72+000304.9,
WISEA J113522.68+304319.6,
WISEA J113523.07+304311.1,
WISEA J113524.93+304303.7,
WISEA J113521.46+304257.9,
WISEA J113524.62+304239.1,
WISEA J004509.34-171603.5,
WISEA J160617.17+181100.1,
WISEA J043042.29-534156.1,
WISEA J221621.56-095546.8,
WISEA J122535.50+425816.8,
2MASX J12253342+4258288,
WISEA J120336.05+020259.3,
WISEA J160116.44+153823.3,
WISEA J111234.07+154209.4,
2MASS J11381399+3138208,
2MASS J09242067+1527343,
WISEA J132828.07-000618.8,
LCRS B120940.4-033812,
WISEA J225035.63-451126.2,
LCRS B224739.5-452722,
WISEA J103934.27-022710.8,
WISEA J103937.66-022739.8,
WISEA J103632.68+053324.2,
2MASX J20540390-5102276,
2MASS J03251554-0024295,
WISEA J211426.49-454534.8,
PGC130469,
2MASS J21145388-0724311,
WISEA J052611.81-381040.9,
WISEA J045019.35-212003.6,
WISEA J041521.87-244207.9,
2MASS J13290963+2545159,
2MASX J15552443+4134142,
WISEA J154448.94+225133.4,
WISEA J163654.15+635744.2,
WISEA J001413.00+283220.6,
WISEA J074857.13+063106.2,
WISEA J040330.71-175852.1,
